Year,Quarter,Revenue_USD,Profit_USD,Number_of_Clients,Number_of_Projects,New_Clients,IT_Budget_USD,Market_Share_Percent,Employee_Satisfaction_Score,Employee_ID
2013,Q3,2038734,94238,367,24,27,962270,6.02,3,EMP0115
2022,Q1,3808943,487938,235,43,13,281211,10.55,5,EMP0186
2023,Q3,4610057,330180,493,27,1,152736,19.33,3,EMP0140
2021,Q4,2714923,868696,96,15,27,718080,19.58,4,EMP0084
2020,Q2,2740870,68540,48,49,47,978362,9.31,2,EMP0076
2016,Q3,4428217,356854,229,35,17,713085,12.26,3,EMP0129
2013,Q2,1721165,210541,421,40,50,376560,2.95,5,EMP0035
2023,Q1,4855520,660734,418,39,28,990896,11.23,1,EMP0180
2022,Q1,2648996,953876,157,41,49,158486,1.22,3,EMP0115
2017,Q1,4170238,293754,377,27,3,903686,0.52,4,EMP0140
2013,Q1,1662871,183156,17,25,47,213686,6.06,3,EMP0125
2016,Q3,1641761,357512,309,16,6,173067,12.85,4,EMP0192
2018,Q3,4731779,165795,331,42,5,621001,14.83,1,EMP0014
2012,Q4,4591788,79532,485,35,12,880681,14.13,4,EMP0190
2013,Q1,4914934,366003,239,44,12,240128,15.84,3,EMP0055
2019,Q1,4546420,817117,159,10,20,794420,13.63,5,EMP0066
2023,Q2,1952229,295243,188,20,32,780229,6.12,3,EMP0157
2011,Q4,1837807,324869,69,32,39,898040,16.09,5,EMP0171
2015,Q3,4604208,546819,292,39,40,255189,8.57,3,EMP0113
2014,Q1,4597034,107790,279,8,23,927444,4.02,1,EMP0167
2016,Q1,546778,987175,289,50,20,493586,6.18,1,EMP0063
2023,Q2,1178272,257286,166,43,35,416570,17.84,4,EMP0115
2015,Q1,3303506,425635,124,27,45,893153,19.17,4,EMP0045
2021,Q2,1086647,341072,284,24,48,521419,19.35,1,EMP0115
2011,Q1,2958141,642095,466,7,36,322445,3.93,4,EMP0089
2013,Q2,3128735,319976,159,23,36,248124,8.53,2,EMP0091
2023,Q2,2720102,998701,106,28,5,660666,6.81,5,EMP0167
2011,Q1,1243522,699516,297,46,31,475353,11.82,3,EMP0116
2020,Q3,3099901,458407,16,31,34,360740,12.55,2,EMP0014
2018,Q3,1505859,980602,120,20,32,982867,2.73,5,EMP0188
2010,Q1,4176850,444223,139,22,31,217127,10.36,2,EMP0094
2023,Q3,1008036,351803,291,47,13,132718,2.53,4,EMP0063
2014,Q4,3124076,442590,254,23,16,822416,8.16,2,EMP0106
2015,Q1,843931,227834,344,10,44,904747,14.23,1,EMP0125
2010,Q3,4164326,216733,436,32,28,435095,16.23,2,EMP0071
2019,Q4,2810938,806146,452,40,35,288598,6.64,4,EMP0039
2022,Q1,2757010,188705,193,22,25,227492,11.72,5,EMP0181
2022,Q1,883973,186306,107,15,20,974375,7.52,1,EMP0154
2015,Q1,4487757,921695,341,10,37,135358,17.4,1,EMP0037
2021,Q2,1242043,194562,402,20,37,453372,8.51,3,EMP0095
2021,Q1,3977725,632921,98,13,30,622664,8.82,4,EMP0127
2021,Q3,4409905,850199,49,22,9,267407,2.17,1,EMP0187
2022,Q2,3344230,116900,226,8,9,318648,16.93,4,EMP0065
2016,Q2,4005862,687754,333,43,4,364229,3.14,4,EMP0183
2014,Q2,3317232,497768,248,21,34,658986,2.07,3,EMP0111
2019,Q4,3346240,256376,247,29,16,368345,12.56,4,EMP0072
2019,Q1,4999410,664294,264,28,34,604119,0.44,4,EMP0087
2023,Q4,4095121,756430,120,22,10,957138,12.28,4,EMP0068
2017,Q3,4909104,478818,70,11,50,827411,0.74,1,EMP0069
2019,Q3,1141603,992778,78,35,13,354039,8.61,1,EMP0021
2022,Q2,3898658,769948,152,14,15,662712,13.33,1,EMP0160
2020,Q3,3356363,567073,26,11,14,487162,3.52,3,EMP0052
